,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_subj(neg.Ic).24,3.337,0.344,2.702,3.985,0.004,0.003,6758.0,10333.0,1.0
v_subj(neg.Ic).25,3.073,0.322,2.471,3.649,0.008,0.007,2162.0,1163.0,1.0
v_subj(neg.Ic).26,2.286,0.256,1.824,2.783,0.003,0.002,6056.0,9047.0,1.0
v_subj(neg.Ic).27,2.294,0.231,1.867,2.731,0.003,0.002,4689.0,6956.0,1.0
v_subj(neg.Ic).28,2.692,0.263,2.214,3.164,0.006,0.004,2806.0,2340.0,1.0
v_subj(neg.Ic).30,1.944,0.22,1.538,2.355,0.003,0.002,5374.0,7773.0,1.0
v_subj(neg.Ic).31,3.635,0.365,2.957,4.319,0.006,0.005,3300.0,4859.0,1.0
v_subj(neg.Ic).32,2.75,0.305,2.205,3.337,0.004,0.003,5143.0,5803.0,1.0
v_subj(neg.Ic).33,2.882,0.287,2.341,3.428,0.004,0.003,5428.0,9442.0,1.0
v_subj(neg.Ic).34,4.092,0.37,3.419,4.714,0.009,0.008,3673.0,3490.0,1.0
v_subj(neg.Ic).35,3.695,0.364,3.006,4.36,0.008,0.006,2063.0,1940.0,1.0
v_subj(neg.Ic).36,2.868,0.341,2.232,3.502,0.005,0.004,4162.0,6863.0,1.0
v_subj(neg.Ic).37,3.51,0.453,2.66,4.296,0.01,0.009,3132.0,1832.0,1.0
v_subj(neg.Ic).38,4.083,0.399,3.345,4.79,0.009,0.007,2608.0,1827.0,1.0
v_subj(neg.Ic).39,2.796,0.282,2.284,3.32,0.005,0.004,4059.0,4468.0,1.0
v_subj(neg.Ic).40,3.844,0.486,2.962,4.671,0.014,0.011,1957.0,1186.0,1.0
v_subj(neg.Ic).41,3.215,0.313,2.61,3.788,0.004,0.003,5929.0,9051.0,1.0
v_subj(neg.Ic).42,5.056,0.506,4.083,5.955,0.013,0.01,1654.0,1346.0,1.0
v_subj(neg.Ic).43,2.272,0.267,1.775,2.773,0.003,0.002,7295.0,8723.0,1.0
v_subj(neg.Ic).44,2.589,0.287,2.055,3.119,0.005,0.003,4420.0,4616.0,1.0
v_subj(neg.Ic).45,3.278,0.322,2.694,3.851,0.008,0.006,1870.0,1767.0,1.0
v_subj(neg.Ic).46,2.97,0.322,2.376,3.543,0.008,0.006,2746.0,1789.0,1.0
v_subj(neg.Ic).47,2.414,0.265,1.939,2.922,0.004,0.003,4619.0,4800.0,1.0
v_subj(neg.Ic).48,2.389,0.242,1.933,2.838,0.004,0.003,3778.0,6603.0,1.0
v_subj(neg.Ic).49,3.796,0.342,3.177,4.415,0.008,0.006,2490.0,2120.0,1.0
v_subj(neg.Ic).50,3.015,0.309,2.449,3.568,0.006,0.005,3206.0,2699.0,1.0
v_subj(neg.Ic).51,2.999,0.292,2.458,3.537,0.007,0.006,2261.0,1602.0,1.0
v_subj(neg.Ic).52,1.922,0.23,1.504,2.337,0.004,0.003,3847.0,3614.0,1.0
v_subj(pos.Co).0,3.212,0.424,2.433,4.008,0.008,0.006,2884.0,3387.0,1.0
v_subj(pos.Co).1,3.686,0.328,3.084,4.301,0.005,0.004,4641.0,6040.0,1.0
v_subj(pos.Co).2,3.824,0.42,3.075,4.568,0.014,0.012,1939.0,877.0,1.0
v_subj(pos.Co).3,3.174,0.325,2.569,3.786,0.006,0.004,3409.0,3901.0,1.0
v_subj(pos.Co).4,3.001,0.31,2.401,3.548,0.005,0.004,5796.0,3615.0,1.0
v_subj(pos.Co).5,1.92,0.251,1.442,2.386,0.003,0.002,7571.0,11077.0,1.0
v_subj(pos.Co).6,2.928,0.364,2.267,3.603,0.007,0.006,3670.0,2719.0,1.0
v_subj(pos.Co).7,4.587,0.437,3.761,5.384,0.008,0.006,3316.0,2889.0,1.0
v_subj(pos.Co).8,3.249,0.359,2.6,3.862,0.01,0.008,2231.0,1326.0,1.0
v_subj(pos.Co).9,3.589,0.351,2.943,4.254,0.005,0.003,5750.0,8895.0,1.0
v_subj(pos.Co).10,4.736,0.48,3.862,5.634,0.01,0.008,2305.0,2276.0,1.0
v_subj(pos.Co).11,4.839,0.483,3.928,5.705,0.012,0.01,1786.0,1760.0,1.0
v_subj(pos.Co).12,2.875,0.322,2.296,3.501,0.006,0.004,2707.0,5914.0,1.0
v_subj(pos.Co).13,1.662,0.246,1.219,2.115,0.003,0.003,7058.0,7932.0,1.0
v_subj(pos.Co).14,3.175,0.372,2.508,3.832,0.011,0.009,2221.0,1290.0,1.0
v_subj(pos.Co).15,4.217,0.431,3.465,4.923,0.014,0.011,2038.0,1098.0,1.0
v_subj(pos.Co).16,2.803,0.369,2.109,3.488,0.004,0.003,6814.0,9325.0,1.0
v_subj(pos.Co).17,3.008,0.365,2.322,3.667,0.006,0.005,4497.0,5280.0,1.0
v_subj(pos.Co).18,3.772,0.597,2.91,4.589,0.028,0.026,2625.0,1529.0,1.0
v_subj(pos.Co).19,3.133,0.407,2.402,3.849,0.012,0.01,1855.0,910.0,1.0
v_subj(pos.Co).20,4.256,0.424,3.483,5.009,0.011,0.009,2440.0,1377.0,1.0
v_subj(pos.Co).21,2.215,0.25,1.752,2.685,0.004,0.003,4190.0,6991.0,1.0
v_subj(pos.Co).22,2.289,0.286,1.742,2.822,0.003,0.002,9324.0,12027.0,1.0
v_subj(pos.Co).23,3.288,0.327,2.684,3.871,0.006,0.005,4607.0,4779.0,1.0
v_subj(pos.Co).24,3.143,0.295,2.606,3.704,0.004,0.003,6031.0,9950.0,1.0
v_subj(pos.Co).25,2.705,0.32,2.116,3.289,0.008,0.006,2254.0,1381.0,1.0
v_subj(pos.Co).26,2.694,0.273,2.192,3.217,0.003,0.002,6422.0,9549.0,1.0
v_subj(pos.Co).27,2.603,0.288,2.064,3.139,0.005,0.004,3433.0,4914.0,1.0
v_subj(pos.Co).28,2.467,0.282,1.925,2.965,0.006,0.004,2656.0,2457.0,1.0
v_subj(pos.Co).30,2.384,0.272,1.882,2.894,0.004,0.003,5652.0,8567.0,1.0
v_subj(pos.Co).31,3.342,0.366,2.654,3.993,0.008,0.006,2392.0,3746.0,1.0
v_subj(pos.Co).32,3.398,0.359,2.754,4.064,0.007,0.006,3358.0,2792.0,1.0
v_subj(pos.Co).33,2.541,0.302,1.988,3.115,0.004,0.003,5048.0,7827.0,1.0
v_subj(pos.Co).34,2.91,0.347,2.262,3.536,0.006,0.005,4042.0,5412.0,1.0
v_subj(pos.Co).35,4.659,0.399,3.948,5.405,0.009,0.007,2271.0,1675.0,1.0
v_subj(pos.Co).36,3.291,0.446,2.449,4.108,0.008,0.006,3165.0,5099.0,1.0
v_subj(pos.Co).37,3.649,0.4,2.945,4.367,0.009,0.008,3538.0,2043.0,1.0
v_subj(pos.Co).38,3.59,0.358,2.912,4.237,0.008,0.006,2746.0,2135.0,1.0
v_subj(pos.Co).39,2.581,0.297,2.044,3.136,0.005,0.004,4092.0,4660.0,1.0
v_subj(pos.Co).40,3.394,0.37,2.724,4.028,0.011,0.008,2020.0,1391.0,1.0
v_subj(pos.Co).41,3.605,0.383,2.886,4.309,0.006,0.004,4317.0,7651.0,1.0
v_subj(pos.Co).42,4.289,0.442,3.477,5.109,0.011,0.009,1766.0,1420.0,1.0
v_subj(pos.Co).43,3.119,0.333,2.488,3.737,0.004,0.003,5971.0,7831.0,1.0
v_subj(pos.Co).44,3.23,0.412,2.499,3.988,0.009,0.007,3818.0,3038.0,1.0
v_subj(pos.Co).45,3.198,0.374,2.51,3.889,0.008,0.006,2964.0,2866.0,1.0
v_subj(pos.Co).46,3.458,0.394,2.78,4.125,0.011,0.009,3186.0,2197.0,1.0
v_subj(pos.Co).47,2.049,0.237,1.604,2.476,0.004,0.003,5094.0,4088.0,1.0
