"subj_idx","congruency","response","rt"
10,"Co",1,0.537106999981916
10,"Co",1,0.551647999993293
10,"Co",1,0.548248699982651
10,"Ic",1,1.30852769999183
10,"Ic",1,0.522496799996588
10,"Ic",1,0.524585700011812
10,"Ic",1,0.611644800024806
10,"Ic",1,0.436389700014843
10,"Ic",1,0.434530500002438
10,"Ic",1,0.835492999991402
10,"Ic",1,0.509742900001584
10,"Ic",1,0.381876200000988
10,"Ic",1,0.665084500011289
10,"Ic",1,0.819365499977721
10,"Ic",1,0.599750800000038
10,"Ic",1,0.575834100018255
10,"Ic",1,0.608802600007039
10,"Ic",1,0.570597699988866
10,"Ic",1,0.512421899999026
10,"Ic",1,0.54401979999966
10,"Ic",1,0.469504800013965
10,"Ic",1,0.659710100007942
10,"Ic",1,0.446897399990121
10,"Ic",1,1.1128558999917
10,"Ic",1,0.557431600027485
10,"Ic",1,0.483351799979573
10,"Ic",1,0.713393300015014
10,"Ic",1,0.618419500009622
10,"Ic",1,0.881242499977816
10,"Ic",1,0.448630800005049
10,"Ic",1,0.462518299988005
10,"Ic",1,0.535412800003542
10,"Ic",1,0.529405100009171
10,"Ic",1,0.504604899993865
10,"Ic",1,0.492280400008895
10,"Ic",1,0.594634000008227
10,"Ic",1,0.437376699992456
10,"Ic",1,0.566973000008147
10,"Ic",1,0.609785800013924
10,"Ic",1,0.941800100001274
10,"Ic",1,0.530494100006763
10,"Ic",1,0.609249699977227
10,"Ic",1,0.545491600001696
10,"Ic",1,0.671104900015052
10,"Ic",1,0.683665299991844
10,"Ic",1,0.453214899986051
10,"Ic",1,0.587517200008733
10,"Ic",1,0.568090099986875
10,"Ic",1,0.56756709999172
10,"Ic",1,0.512714699987555
10,"Ic",1,0.521602799999528
10,"Ic",1,0.559221400006209
10,"Ic",1,0.516485200001625
10,"Ic",1,0.48963170000934
10,"Ic",0,1.1479986999766
10,"Ic",1,0.60934970001108
10,"Ic",1,1.28628289999324
10,"Ic",1,0.481495199986966
10,"Ic",1,0.450714100006735
10,"Ic",1,0.524349400016945
10,"Ic",1,0.537265299994033
10,"Ic",1,0.468490200000815
10,"Ic",1,0.478496299998369
10,"Ic",1,0.618144899985055
10,"Ic",1,0.447014799981844
10,"Ic",1,0.522131499979878
10,"Ic",1,0.472218500013696
10,"Ic",1,0.543414299987489
10,"Ic",1,0.601322600006824
10,"Ic",1,0.526368699996965
10,"Ic",1,0.528740300011123
10,"Ic",1,0.973971100000199
10,"Ic",1,0.557953000010457
10,"Ic",1,0.592857100011315
10,"Ic",1,0.48379319999367
10,"Ic",1,0.483038900012616
10,"Ic",1,0.528450000012526
10,"Ic",1,0.451511599996593
10,"Ic",1,0.591840799985221
10,"Ic",1,0.453037300001597
10,"Ic",1,0.56209459999809
10,"Ic",1,0.414690900011919
10,"Ic",1,0.449067300010938
11,"Co",1,0.619605899999442
11,"Co",1,0.563520799998514
11,"Co",1,0.65156250000291
11,"Co",1,0.52462309999828
11,"Co",1,0.544317300002149
11,"Co",1,0.539226000000781
11,"Co",1,0.570183700001508
11,"Co",1,0.53977759999907
11,"Co",1,0.549330499998177
11,"Co",1,0.650158800002828
11,"Co",1,0.501337000001513
11,"Co",1,0.65680699999939
11,"Co",1,0.594132899997931
11,"Co",1,0.58166710000296
11,"Co",1,0.573476800000208
11,"Co",1,0.46885729999849
11,"Co",1,0.572035099998175
11,"Co",1,0.476311900001747
11,"Co",1,0.739147899999807
11,"Co",1,0.635693600001105
11,"Co",1,0.549849700000777
11,"Co",1,0.551499599998351
11,"Co",1,0.511919599997782
11,"Co",1,0.578342999997403
11,"Co",1,0.54756190000262
11,"Co",1,0.664438400002837
11,"Co",1,0.643697499999689
11,"Co",1,0.751518799999758
11,"Co",1,0.730188699999417
11,"Co",1,0.667137000000366
11,"Co",0,0.655945300000894
11,"Co",1,0.599773300000379
11,"Co",1,0.504669800000556
11,"Co",1,0.573004300000321
11,"Co",1,0.583260499999597
11,"Co",1,0.663381700000173
11,"Co",1,0.643587399998069
11,"Co",1,0.504402999999002
11,"Co",1,0.547289599999203
11,"Co",1,0.592496699999174
11,"Co",1,0.581437600001664
11,"Co",1,0.53063960000145
11,"Co",1,0.538205699998798
11,"Co",1,0.520969400000467
11,"Co",1,0.5708956999988
11,"Co",1,0.633772699999099
11,"Co",1,0.573428899999271
11,"Co",1,0.662493599997106
11,"Co",1,0.612739699998201
11,"Co",1,0.793217200000072
11,"Co",1,0.50729180000053
11,"Co",1,0.535913800002163
11,"Co",1,0.58727319999889
11,"Co",1,0.681099200002791
11,"Co",1,0.566808800002036
11,"Co",1,1.28270379999958
11,"Co",1,0.632953800002724
11,"Co",1,0.617276000000857
11,"Co",1,0.557586699997046
11,"Co",1,0.570705400001316
11,"Co",1,0.680361599999742
11,"Co",1,0.595644299999549
11,"Co",1,0.56095379999897
11,"Co",1,0.71684500000265
11,"Co",1,0.680191999999806
11,"Co",1,0.604238600000826
11,"Co",1,0.498498000000836
11,"Co",1,0.516552699999011
11,"Co",1,0.657348000000638
11,"Co",1,0.566601400001673
11,"Co",1,0.53989730000103
11,"Co",1,0.482926399999997
11,"Co",1,0.653897399999551
11,"Co",1,0.727401899999677
11,"Co",1,0.551700500000152
11,"Co",1,0.517905400000018
11,"Co",1,0.555879899999127
11,"Co",1,0.584241399999883
11,"Co",1,0.605023300002358
11,"Co",1,0.461620500002027
11,"Ic",1,0.518558799998573
11,"Ic",1,0.678566100003081
11,"Ic",1,0.555288199997449
11,"Ic",1,0.516064600000391
11,"Ic",1,0.495325200001389
11,"Ic",1,0.797927200001141
11,"Ic",1,0.59345089999988
11,"Ic",1,0.57966640000086
11,"Ic",1,0.658622499999183
11,"Ic",1,0.80892269999822
11,"Ic",1,0.479775700001483
11,"Ic",1,0.566982899999857
11,"Ic",1,0.556070200000249
11,"Ic",1,0.757713800001511
11,"Ic",1,0.597909800002526
11,"Ic",1,0.606964599999628
11,"Ic",1,0.513869300000806
11,"Ic",1,0.53209760000027
11,"Ic",1,0.564626300001692
11,"Ic",1,0.807114999999612
11,"Ic",1,0.566328100001556
11,"Ic",1,0.605687700000999
11,"Ic",1,0.558125699997618
11,"Ic",1,0.542210899999191
11,"Ic",1,0.496800500000973
11,"Ic",1,0.542219300001307
11,"Ic",1,0.489350199997716
11,"Ic",1,0.692792800000461
11,"Ic",1,0.600791599998047
11,"Ic",1,0.51967650000006
11,"Ic",1,0.552180099999532
11,"Ic",1,0.649831599999743
11,"Ic",1,0.593094600000768
11,"Ic",1,0.574275099999795
11,"Ic",1,0.534171799998148
11,"Ic",1,0.876228799999808
11,"Ic",1,0.571920800000953
11,"Ic",1,0.579663299999083
11,"Ic",1,0.633299500001158
11,"Ic",1,0.621506700001191
11,"Ic",1,0.555201300001499
11,"Ic",1,0.848981600000116
11,"Ic",1,0.712045299998863
11,"Ic",1,0.519169399998646
11,"Ic",1,0.544728100001521
11,"Ic",1,0.615398400001141
11,"Ic",1,0.819338000001153
11,"Ic",1,0.535502599999745
11,"Ic",1,0.481172699997842
11,"Ic",1,0.555982300000323
11,"Ic",1,0.551468300000124
11,"Ic",1,0.467224899999565
11,"Ic",1,0.574617000002036
11,"Ic",1,0.591214600000967
11,"Ic",1,0.587637599997834
11,"Ic",1,0.4546119000006
11,"Ic",1,0.637605699997948
11,"Ic",1,0.63292630000069
11,"Ic",1,0.579261999999289
11,"Ic",1,0.594977499997185
11,"Ic",1,0.49208930000168
11,"Ic",1,0.50456000000122
11,"Ic",1,0.592094800002087
11,"Ic",1,0.564453400002094
11,"Ic",1,0.406034400002682
11,"Ic",1,0.464508600001864
11,"Ic",1,0.506553999999596
11,"Ic",1,0.528441599999496
11,"Ic",1,0.587311900002533
11,"Ic",1,0.54889319999711
11,"Ic",1,0.578014700000494
11,"Ic",1,0.504192100001092
11,"Ic",1,0.591838299998926
11,"Ic",1,0.559019000000262
11,"Ic",1,0.576599899999565
11,"Ic",1,0.534531000001152
11,"Ic",1,0.568729599999642
12,"Co",1,0.625462200000584
12,"Co",1,0.850740899999437
12,"Co",1,0.811281400000553
12,"Co",1,0.654530899999372
12,"Co",1,0.661665100000391
12,"Co",1,0.926244500000394
12,"Co",1,0.625596799999585
12,"Co",1,0.838848999999755
12,"Co",1,0.75738039999942
12,"Co",1,0.579153799999403
12,"Co",1,0.844825299999684
12,"Co",1,1.21974680000039
12,"Co",1,0.776934799999253
12,"Co",1,0.764136699999654
12,"Co",1,0.582293200000095
12,"Co",1,0.813271400000303
12,"Co",1,1.2389918000008
12,"Co",1,0.85555260000001
12,"Co",1,0.974688000000242
12,"Co",1,0.787323500000639
12,"Co",1,1.4813479000004
12,"Co",1,1.45052049999958
12,"Co",1,0.758189199999833
12,"Co",1,0.572990599999684
12,"Co",1,0.959039999999732
12,"Co",1,0.851672599999802
12,"Co",1,0.746692800000346
12,"Co",1,0.772257800000261
12,"Co",1,0.76514860000043
12,"Co",0,0.978629700000056
12,"Co",1,0.640911000000415
12,"Co",1,0.732560299999932
12,"Co",1,0.987476799999968
12,"Co",1,0.65831849999995
12,"Co",1,0.59266370000023
12,"Co",0,1.52017589999923
